Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1966-0058-TUR,1966,58,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Mus province,,,,,,,,,Richter,38.5,41.3,,,1966,7,3,1966,7,3,14,,,,,,,,,,,11.09099715,,,,
1966-0062-TUR,1966,62,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Varto,,,,Yes,,,,7,Richter,39.235,41.572,15:22,,1966,8,19,1966,8,19,2394,1500,108000,,109500,,,,,20000,180326,11.09099715,,,,
1967-0047-TUR,1967,47,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"(1) West Turkey - (2) East Turkey - (3) West Turkey; Mudurnu, Adapazari",,,,Yes,,,,7,Richter,40.751,30.8,19:57,,1967,7,22,1967,7,22,183,360,238713,87000,326073,,,,,3000,26319,11.39852698,,,,
1968-0071-TUR,1968,71,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Bartin, Amasra, Cakraz (North Anatolia)",,Tsunami/Tidal wave,,,,,,7,Richter,41.86,32.463,11:19,,1968,9,3,1968,9,3,24,200,10000,10000,20200,,,,,,,11.88544651,,,,
1969-0059-TUR,1969,59,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"West Alasehir, Sarigol, Kirz",,,,,,,,7,Richter,38.515,28.546,04:48,,1969,3,28,1969,3,28,53,350,,,350,,,,,,,12.53467526,,,,
1970-0019-TUR,1970,19,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Gediz,,,,Yes,,,,7,Richter,39.098,29.57,,,1970,3,28,1970,3,28,1086,2776,80672,,83448,,,,,55600,419101,13.26647996,,,,
1971-0030-TUR,1971,30,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Burdur,,,,,,,,6,Richter,37.6,29.8,09:25,,1971,5,12,1971,5,12,57,,,,,,,,,,,13.83598355,,,,
1971-0034-TUR,1971,34,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Bingol, Erzincan",,,,Yes,,,,7,Richter,38.934,40.653,19:43,,1971,5,22,1971,5,22,878,1200,60000,27465,88665,,,,,5000,36138,13.83598355,,,,
1975-0053-TUR,1975,53,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Hazro, Hani, Kulp,Lice",,,,Yes,,,,7,Richter,38.474,40.723,12:20,,1975,9,6,1975,9,6,2385,3372,50000,,53372,,,,,17000,92446,18.38912907,,,,
1976-0029-TUR,1976,29,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,5,Richter,41.13,43.01,14:55,,1976,3,25,1976,3,25,2,6,,,6,,,,,,,19.44554409,,,,
1976-0056-TUR,1976,56,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Denizli,,,,,,,,5,Richter,37.7,28.89,04:12,,1976,8,19,1976,8,19,4,50,,9000,9050,,,,,,,19.44554409,,,,
1976-0075-TUR,1976,75,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Muradiye,,,,Yes,,,,7,Richter,39.121,44.029,15:22,,1976,11,24,1976,11,24,3840,15000,150000,51000,216000,,,,,25000,128564,19.44554409,,,,
1977-0052-TUR,1977,52,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Lice-Palu, Elazig Province",,,,,,,,5,Richter,38.56,40.02,05:39,,1977,3,25,1977,3,25,30,,,,,,,,,,,20.7098325,,,,
1978-0263-TUR,1978,263,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Pulumur, Erzincan",,,,,,,,5,Richter,36.69,39.79,06:17,,1978,2,15,1978,2,15,,20,125,2500,2645,,,,,,,22.29019504,,,,
1983-0136-TUR,1983,136,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Khorasan, Pasinler, Narman (Erzurum province), Kars provinces",,,,Yes,Yes,,,7,Richter,40.33,42.187,07:12,,1983,10,30,1983,10,30,1346,1137,800000,33000,834137,,,,,25000,73458,34.03326363,,,,
1984-0086-TUR,1984,86,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Olur-Senkaya area,,,,,No,No,,,Richter,40.89 N,42.22 E,,,1984,9,18,1984,9,18,3,38,375000,,375038,,,,,,,35.49688113,,,,
1984-0413-TUR,1984,413,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum-Senkaya area,,,,,No,No,,5,Richter,40.55 N,42.40 E,,,1984,10,18,1984,10,18,3,35,375000,,375035,,,,,,,35.49688113,,,,
1985-0194-TUR,1985,194,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"ERZURUM, KARS, AGRI, ARTVIN",,,,,,,,4,Richter,40.31,42.307,10:26,,1985,11,7,1985,11,7,,14,565,,579,,,,,,,36.75546794,,,,
1986-0058-TUR,1986,58,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Malatya, Adiyaman provinces",,,,,No,No,,6,Richter,37.993 N,37.806 E,,,1986,5,5,1986,5,5,15,100,20000,,20100,,,,,,,37.45311166,,,,
1986-0183-TUR,1986,183,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Aydin area,,,,,No,No,,6,Richter,37.931 N,28.574 E,,,1986,10,11,1986,10,11,,3,750,250,1003,,,,,,,37.45311166,,,,
1992-0022-TUR,1992,22,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzican province,,"Slide (land, mud, snow, rock)",,Yes,No,No,11213,7,Richter,39.710 N,39.605 E,20:19,,1992,3,13,1992,3,13,653,3850,250000,95000,348850,,,10800,22525,750000,1564256,47.94612964,,,,
1995-0233-TUR,1995,233,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Dinar, Evciler",,,,Yes,No,No,1981,6,Richter,38.0 N,30.1 E,17:57,,1995,10,1,1995,10,1,94,240,120000,40000,160240,,,,,205800,395243,52.06929869,,,,
1996-0461-TUR,1996,461,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Corum-Amasya,,"Slide (land, mud, snow, rock)",,,No,No,,,Richter,40.754 N,35.340 E,,,1996,8,14,1996,8,14,,6,17000,9000,26006,,,,,30000,55975,53.59556085,,,,
1998-0201-TUR,1998,201,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Adana, Ceyhan, Hatay",,,,,,,1740,6,Richter,3.878,35.307,17:00,,1998,6,28,1998,6,28,145,1600,1500000,88000,1589600,,,,,550000,987435,55.69986281,,,,
1998-0207-TUR,1998,207,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Geyhan, Adana area",,,,,No,No,,5,Richter,36.874 N,35.321 E,05:15,,1998,7,4,1998,7,4,,1016,,,1016,,,,,,,55.69986281,,,,
1998-0588-TUR,1998,588,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kayseri,,,,,No,No,,5,Richter,,,,,1998,12,14,1998,12,14,2,,590,100,690,,,,,,,55.69986281,,,,
1999-0449-TUR,1999,449,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Duzce, Bolu, Kaynasli",,"Slide (land, mud, snow, rock)",,Yes,Yes,,14636,7,Richter,40.758,31.161,18:58,,1999,11,12,1999,11,12,845,4948,165000,55000,224948,10000000,17568953,,,1000000,1756895,56.91858704,,,,
1999-0268-TUR,1999,268,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Izmit, Kocaeli, Yalova, Golcuk, Zonguldak, Sakarya, Tekirdag, Istanbul, Bursa, Eskisehir, Bolu",,,,Yes,,Yes,116413,8,Richter,40.748,29.864,03:02,,1999,8,17,1999,8,17,17127,43953,715000,600000,1358953,25000000,43922383,2000000,3513791,20000000,35137907,56.91858704,,,,
1999-0314-TUR,1999,314,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Kocaeli, Bursa, Istanbul, Sakarya, Yalova Provinces",,,,,,,,6,Richter,40.709,30.045,14:58,,1999,9,13,1999,9,13,6,422,,,422,,,,,,,56.91858704,,,,
1999-0376-TUR,1999,376,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Marmaris,,,,,,,,5,Richter,,,03:53,,1999,10,5,1999,10,5,,103,,,103,,,,,,,56.91858704,,,,
1999-0386-TUR,1999,386,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Izmit,,,,,,,,5,Richter,40.711,29.949,11:10,,1999,8,31,1999,8,31,1,166,,,166,,,,,,,56.91858704,,,,
1999-0445-TUR,1999,445,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Sakarya Province,,,,,,,,7,Richter,40.758,31.161,16:40,,1999,11,11,1999,11,11,3,200,,,200,,,,,,,56.91858704,,,,
2000-0272-TUR,2000,272,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Poturge district (Malatya province),,,,,,,,5,Richter,38.164,38.777,,,2000,5,7,2000,5,7,1,,1000,,1000,,,,,,,58.84064849,2,,28104,Poturge (Adm2).
2000-0291-TUR,2000,291,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Cerkes, Orta districts (Cankiri province), Cubuk district (Ankara province)",,,,,,,,6,Richter,40.693,32.992,05:45,,2000,6,6,2000,6,6,2,80,23000,,23080,,,,,,,58.84064849,2,,27517;27694;27701,"Cerkes, Cubuk, Orta (Adm2)."
2001-0358-TUR,2001,358,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Osmaniye province,,,,,,,,6,Richter,37.238,36.206,,,2001,6,25,2001,6,25,,130,350,,480,,,,,,,60.50357889,1,3079,,Osmaniye (Adm1).
2001-0748-TUR,2001,748,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum province,,,,,,,,5,Richter,39.832,41.623,,,2001,7,10,2001,7,10,,46,85,,131,,,,,,,60.50357889,1,3046,,Erzurum (Adm1).
2002-0065-TUR,2002,65,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Bolvadin district (Afyon province),,,,,,,1982,7,Richter,38.573,31.271,09:11,,2002,2,3,2002,2,3,42,327,222000,30000,252327,,,,,95000,154564,61.46318826,2,,27472,Bolvadin (Adm2).
2003-0050-TUR,2003,50,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Pulumur district (Tunceli province),,,,,,,,6,Richter,39.5,39.878,06:45,,2003,1,27,2003,1,27,1,2,,,2,,,,,,,62.8584595,2,,28328,Pulumur (Adm2).
2003-0197-TUR,2003,197,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Bingol, Celtiksuyu, Sancak, Gokdere, Gozeler villages (Merkez district, Bingol province)",,,,,,,424,6,Richter,39.007,40.464,03:27,,2003,5,1,2003,5,1,177,520,245000,45000,290520,,,1000,1591,135000,214768,62.8584595,2,,27624,Merkez (Adm2).
2003-0648-TUR,2003,648,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Buldan district (Denizli province),,,,,,,,5,Richter,38.111,28.887,03:00,,2003,7,26,2003,7,26,,,240,,240,,,,,,,62.8584595,2,,27725,Buldan (Adm2).
2003-0783-TUR,2003,783,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Seferihisar, Konak districts (Izmir province)",,,,,,,,6,Richter,38.221,26.958,,,2003,4,10,2003,4,10,,170,,,170,,,,,,,62.8584595,2,,27937;27942,"Konak, Seferihisar (Adm2)."
2004-0132-TUR,2004,132,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Askale, Ilica, Cat districts (Erzurum province)",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,39.847,40.874,06:51,,2004,3,28,2004,3,28,,30,32500,,32530,,,,,,,64.54132928,2,,27780;27781;27784,"Askale, Cat, Ilica (Adm2)."
2004-0127-TUR,2004,127,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Askale, Buyukgecit, Kucukgecit, Karabiyik, Kandilli villages (Askale district, Erzurum province)",,,,,,,,6,Richter,39.93,40.812,21:30,,2004,3,25,2004,3,25,9,30,4000,,4030,,,,,,,64.54132928,2,,27780,Askale (Adm2).
2004-0308-TUR,2004,308,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Dogubeyazit district (Agri province),,,,,,,,5,Richter,39.766,43.979,01:30,,2004,7,1,2004,7,1,18,21,335,,356,,,,,,,64.54132928,2,,27489,Dogubeyazit (Adm2).
2005-0070-TUR,2005,70,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Batman city (Merkez district, Batman province), Siirt city (Merkez district, Siirt province), Adana, Van, Hakkari provinces",,,,,,,,6,Richter,37.622,43.703,,,2005,1,25,2005,1,25,2,22,400,,422,,,,,,,66.73105799,1;2,3017;3051;3093,27607;28246,"Adana, Hakkari, Van (Adm1). Merkez (Adm2)."
2005-0126-TUR,2005,126,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Karliova district (Bingol province),,,,,,,,6,Richter,39.354,40.89,03:55,,2005,3,14,2005,3,14,,18,2250,,2268,,,,,,,66.73105799,2,,27622,Karliova (Adm2).
2005-0329-TUR,2005,329,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Karliova district (Bingol province),,,,,,,,6,Richter,39.22,41.08,,,2005,6,6,2005,6,6,,54,300,,354,,,,,,,66.73105799,2,,27622,Karliova (Adm2).
2010-0093-TUR,2010,93,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Basyurt village (Karakocan district, Elazig province), Demirci, Kovancilar, Okcular villages (Kovancilar district, Elazig province)",,,,,,,,6,Richter,38.864,39.986,04:32,,2010,3,8,2010,3,8,51,100,3500,,3600,,,,,,,74.50944408,2,,27764;27766,"Karakocan, Kovancilar (Adm2)."
2011-0170-TUR,2011,170,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Simav district (Kutahya province),,,,,,,,6,Richter,39.149,29.103,,,2011,5,19,2011,5,19,3,121,,10000,10121,,,4000,5204,244000,317454,76.86159538,2,,28091,Simav (Adm2).
2011-0397-TUR,2011,397,EQ-2011-000162,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Van, Bitlis, Hakkari provinces",,,,Yes,,,32934,7,Richter,38.721,43.508,13:41,,2011,10,23,2011,10,23,604,4152,6786,22000,32938,,,90000,117094,1500000,1951560,76.86159538,1,3034;3051;3093,,"Bitlis, Hakkari, Van (Adm1)."
2011-0467-TUR,2011,467,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Van province,,,,,,,,6,Richter,38.429,43.229,21:30,,2011,11,9,2011,11,9,40,30,,75,105,,,,,,,76.86159538,1,3093,,Van (Adm1).
2014-0174-TUR,2014,174,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Tekirdag, Canakkale provinces",,,,,,,,7,Richter,40.2893,25.3889,,,2014,5,24,2014,5,24,,324,,,324,,,,,,,80.89262372,1,3038;3088,,"Canakkale, Tekirdag (Adm1)."
2017-0280-TUR,2017,280,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Bodrum,,Tsunami/Tidal wave,,,,,,7,Richter,,,01:31,,2017,7,21,2017,7,21,,360,,,360,,,,,,,83.75725455,2,,28133,Bodrum (Adm2).
1900-0009-TUR,1900,9,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"KARS,KARAKURT,KAGIZMAN,DIGOR",,,,,,,,6,Richter,40.3,43.1,09:25,,1900,7,12,1900,7,12,140,,,,,,,,,,,2.849084409,,,,
1903-0013-TUR,1903,13,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,,Richter,39.1,42.4,,,1903,4,19,1903,4,19,1700,,,,,,,,,,,3.077011162,,,,
1903-0015-TUR,1903,15,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"VARGINIS,CARDAHLI,MEHKEREK",,,,,,,,6,Richter,40.9,42.7,06:58,,1903,5,28,1903,5,28,1000,,,,,,,,,,,3.077011162,,,,
1914-0029-TUR,1914,29,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Burdur, Kilinc, Keciborlu, Isparta",,,,,,,,7,Richter,37.82,30.27,01:06,,1914,10,4,1914,10,4,4000,700,,51000,51700,,,,,,,3.430297628,,,,
1924-0009-TUR,1924,9,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum,,,,,,,,5,Richter,39.7,42.8,03:52,,1924,5,13,1924,5,13,50,,,,,,,,,,,5.869113882,,,,
1924-0011-TUR,1924,11,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzurum,,,,,,,,7,Richter,39.897,41.891,16:34,,1924,9,13,1924,9,13,60,,,1140,1140,,,,,,,5.869113882,,,,
1925-0009-TUR,1925,9,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Ardahan,,,,,,,,6,Richter,41.2,42.8,20:38,,1925,1,9,1925,1,9,200,,,,,,,,,,,6.005869934,,,,
1925-0013-TUR,1925,13,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Dinar,,,,,,,,6,Richter,38,30.5,09:46,,1925,8,7,1925,8,7,3,,,6129,6129,,,,,,,6.005869934,,,,
1934-0020-TUR,1934,20,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Diyarbakir (Kurdistan),,,,,,,,,Richter,37.919,40.211,,,1934,11,27,1934,11,27,100,,,,,,,,,,,4.581327729,,,,
1934-0021-TUR,1934,21,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Diyarbakir (Kurdistan),,,,,,,,,Richter,37.919,40.211,,,1934,12,15,1934,12,15,20,,,,,,,,,,,4.581327729,,,,
1935-0031-TUR,1935,31,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Kigi,,,,,,,,6,Richter,39.3,40.6,13:24,,1935,5,1,1935,5,1,540,,,,,,,,,,,4.695291106,,,,
1940-0033-TUR,1940,33,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Cis,,,,,,,,6,Richter,41.7,43.8,01:23,,1940,5,8,1940,5,8,16,,,,,,,,,,,4.797858145,,,,
1941-0032-TUR,1941,32,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Van, Ercis",,,,,,,,6,Richter,39.5,43.3,00:53,,1941,9,11,1941,9,11,430,,,,,,,,,,,5.037181235,,,,
1941-0034-TUR,1941,34,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Erzincan,,,,,,,,6,Richter,39.7,39.4,13:04,,1941,11,12,1941,11,12,15,,,,,,,,,,,5.037181235,,,,
1942-0043-TUR,1942,43,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,,,,,,,,,6,Richter,39.2,28.2,20:01,,1942,11,15,1942,11,15,16,,,,,,,,,,,5.595601779,,,,
1942-0044-TUR,1942,44,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Kastomonu, Kargi",,,,,,,,,Richter,40.3,34.6,17:01,,1942,11,21,1942,11,21,17,,,,,,,,,,,5.595601779,,,,
1943-0051-TUR,1943,51,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Hendek,,,,,,,,7,Richter,40.8,30.5,18:32,,1943,1,20,1943,1,20,285,,,,,,,,,,,5.92609557,,,,
